codigo_cnuc;unidade_de_conservacao;categoria_uc_sigla_federal;gerencia_regional_icmbio;coordenacao_regional_icmbio;unidades_da_federacao;bioma_referencial;programa_monitora ;projetos_especiais;subprograma_terrestre; componente_florestal_alvo_global;componente_florestal_alvo_complementar; componente_campestre_savanico;florestal_ea_01_alvo_global_mamiferos_aves;florestal_ea_02_alvo_global_mamiferos_aves;florestal_ea_03_alvo_global_mamiferos_aves;florestal_ea_01_alvo_global_borboletas;florestal_ea_02_alvo_global_borboletas;florestal_ea_03_alvo_global_borboletas;florestal_ea_01_alvo_global_plantas_arboreas;florestal_ea_02_alvo_global_plantas_arboreas;florestal_ea_03_alvo_global_plantas_arboreas; florestal_alvo_complementar_castanha_da_amazonia;florestal_alvo_complementar_especies_cinegeticas;florestal_alvo_complementar_mamiferos_aves;campestre_savanico_alvo_global_plantas;subprograma_aquatico_continental;componente_igarape;componente_area_alagavel_alvo_global;componente_area_alagavel_alvo_complementar;igarape_alvo_global_odonatas;igarape_alvo_global_peixes;igarape_alvo_global_habitat;area_alagavel_alvo_global_pesca;area_alagavel_alvo_complementar_quelonios;area_alagavel_alvo_complementar_pirarucu;subprograma_marinho_costeiro;componente_manguezal;componente_ambiente_recifal;componente_praia;componente_ilha;alvo_transversal_pesca_biodiversidade_associada;manguezal_alvo_global_caranguejo_uca;manguezal_alvo_global_vegetacao_de_mangue; ambiente_recifal_alvo_global_peixes_invertebrados_substrato;praia_alvo_global_aves_limicolas ;praia_alvo_global_mamiferos_marinhos;ilha_alvo_global_aves_marinhas;praia_alvo_global_tartarugas
41;ARIE Matao de Cosmopolis;ARIE;GR 4;CR - Lagoa Santa;SP;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;ARIE Projeto Dinamica Biologica de Fragmentos Florestais;ARIE;GR 1;CR - Manaus;AM;Amazonia;Operação;;;;;;;;;;;;;;;;;;;Operação;Operação;;;Operação básico;Operação básico;Operação básico;;;;;;;;;;;;;;;;
44;ARIE Seringal Nova Esperanca;ARIE;GR 1;CR - Porto Velho;AC;Amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;ARIE Serra da Abelha e Rio da Prata;ARIE;GR 5;GR 5;SC;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3131;ESEC Alto Maues;ESEC;GR 1;CR - Manaus;AM;Amazonia;Operação;ARPA;Operação;Operação;;;;;;;;;Operação básico e avançado;Operação básico e avançado;;;;;;Parada;Parada;;;Parada;Parada;Parada;;;;;;;;;;;;;;;;
263;ESEC da Guanabara;ESEC;GR 4;CR - Lagoa Santa;RJ;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;ESEC da Mata Preta;ESEC;GR 5;GR 5;PR/SC;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;ESEC da Serra das Araras;ESEC;GR 3;GR;MT;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;ESEC da Terra do Meio;ESEC;GR 1;CR - Oeste do Pará;PA;Amazonia;Operação;ARPA;Operação;Operação;;;Operação básico e avançado;Operação básico e avançado;;Operação básico;Operação básico;;Parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;ESEC de Aiuaba;ESEC;GR 2;CR - Parnaíba ;CE;Caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;ESEC de Aracuri-Esmeralda;ESEC;GR 5;GR 5;RS;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;ESEC de Carijos;ESEC;GR 5;GR 5;SC;Mata Atlantica;Operação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Operação;Operação;;;;;Operação básico;Operação básico;;;;;
53;ESEC de Cunia;ESEC;GR 1;CR - Porto Velho;RO/AM;Amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;ESEC de Guaraquecaba;ESEC;GR 5;GR 5;PR;Mata Atlantica;Operação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Operação;Operação;;;;;Operação básico;Operação básico;;;;;
56;ESEC de Jutai-Solimäes;ESEC;GR 1;CR - Manaus;AM;Amazonia;Implantação;ARPA;;;;;;;;;;;;;;;;;;Implantação;Implantação;;;Implantação;Implantação;Implantação;;;;;;;;;;;;;;;;
57;ESEC de Maraca;ESEC;GR 1;CR - Manaus;RR;Amazonia;Operação;ARPA;Operação;Operação;;;Operação básico;Operação básico;Operação básico;Operação básico e avançado;Operação básico e avançado;Parada;Operação básico e avançado;Operação básico e avançado;Operação básico e avançado;;;;;Parada;Parada;;;Parada;Parada;Parada;;;;;;;;;;;;;;;;
58;ESEC de Maraca Jipioca;ESEC;GR 1;CR - Manaus;AP;Amazonia;Operação;ARPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;Operação;Operação;;Operação;;;Operação básico;Operação básico;;Operacao;;;
59;ESEC de Murici;ESEC;GR 2;CR - Parnaíba ;AL;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;ESEC de Pirapitinga;ESEC;GR 4;CR - Lagoa Santa;MG;Cerrado;Operação;;Operação;Operação;;Operação;Operação básico;;;Operação básico e avançado;Operação básico e avançado;;Operação básico;;;;;;Operação básico;;;;;;;;;;;;;;;;;;;;;;;
62;ESEC de Taiama;ESEC;GR 3;GR;MT;Pantanal;Parada;GEF Terrestre;Parada;;;Parada;;;;;;;;;;;;;Parada;;;;;;;;;;;;;;;;;;;;;;;
63;ESEC de Tamoios;ESEC;GR 4;CR - Lagoa Santa;RJ;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;ESEC de Urucui-Una;ESEC;GR 2;CR - Parnaíba ;PI;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;ESEC do Castanhao;ESEC;GR 2;CR - Parnaíba ;CE;Caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;ESEC do Jari;ESEC;GR 1;CR - Belém;PA/AP;Amazonia;Operação;ARPA;Operação;Operação;;;Operação básico;Operação básico;Operação básico;Operação básico e avançado;Operação básico e avançado;Operação básico e avançado;Operação básico;Operação básico;Operação básico;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;ESEC do Serido;ESEC;GR 2;CR - Parnaíba ;RN;Caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;ESEC do Taim;ESEC;GR 5;GR 5;RS;Pampas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;ESEC dos Tupiniquins;ESEC;GR 4;CR - Lagoa Santa;SP;Marinho-Costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;ESEC Juami-Japura;ESEC;GR 1;CR - Manaus;AM;Amazonia;;ARPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;ESEC Mico-Leao-Preto;ESEC;GR 4;CR - Lagoa Santa;SP;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
